epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.377,1.6658,2.40904,0.96096,0.75281,0.73811,0.78165,0.52459,1.13542,1.08782,0.86741,0.000369671,0.000369671,0.000369671
2,228.654,1.42615,1.32733,0.90994,0.80823,0.83127,0.88372,0.562,1.19793,0.86425,0.86205,0.000732678,0.000732678,0.000732678
3,314.993,1.34001,1.09154,0.88814,0.87431,0.85934,0.92477,0.64826,1.03171,0.75464,0.84243,0.00108835,0.00108835,0.00108835
4,400.115,1.25908,0.95342,0.87869,0.89348,0.90903,0.95045,0.67252,1.00701,0.67316,0.83362,0.001078,0.001078,0.001078
5,486.786,1.21156,0.86613,0.86925,0.89059,0.90771,0.95184,0.69283,0.98691,0.64739,0.82534,0.001067,0.001067,0.001067
6,572.277,1.13779,0.7855,0.86051,0.90022,0.89726,0.95709,0.71059,0.93176,0.61108,0.81969,0.00105601,0.00105601,0.00105601
7,663.617,1.12865,0.75446,0.85405,0.93697,0.92153,0.96885,0.70541,0.93651,0.63608,0.82431,0.00104501,0.00104501,0.00104501
8,748.466,1.1119,0.70738,0.85412,0.9484,0.93379,0.97513,0.75153,0.85027,0.51854,0.81283,0.00103401,0.00103401,0.00103401
9,832.476,1.09172,0.68488,0.84931,0.95469,0.93765,0.97737,0.75891,0.83868,0.50164,0.81053,0.00102301,0.00102301,0.00102301
10,917.09,1.06441,0.65915,0.84951,0.96335,0.94582,0.98186,0.76742,0.79798,0.47422,0.80716,0.00101201,0.00101201,0.00101201
11,1003.26,1.04447,0.62615,0.84299,0.97168,0.94672,0.98187,0.78115,0.76027,0.45243,0.80434,0.00100101,0.00100101,0.00100101
12,1089.29,0.98895,0.60198,0.84432,0.96447,0.9501,0.98348,0.77342,0.7952,0.46466,0.80241,0.000990012,0.000990012,0.000990012
13,1173.07,1.01845,0.5996,0.84069,0.9701,0.94588,0.98224,0.79419,0.74516,0.43887,0.8018,0.000979013,0.000979013,0.000979013
14,1259.94,1.01773,0.59158,0.84154,0.97113,0.95426,0.98567,0.80698,0.72014,0.43406,0.79679,0.000968014,0.000968014,0.000968014
15,1343.07,0.97732,0.56905,0.83276,0.9761,0.95713,0.9865,0.80176,0.74397,0.44289,0.79975,0.000957015,0.000957015,0.000957015
16,1425.48,0.95029,0.55875,0.83473,0.97886,0.95436,0.98593,0.79142,0.74333,0.42821,0.79716,0.000946016,0.000946016,0.000946016
