epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.209,1.90992,1.89,0.88725,0.67332,0.76082,0.82799,0.46383,1.51367,1.2098,0.84577,0.0671289,0.000332031,0.000332031
2,361.942,1.5997,0.97786,0.85505,0.89947,0.91367,0.96374,0.60431,1.29898,0.75102,0.82317,0.0341157,0.00065219,0.00065219
3,537.414,1.44533,0.81516,0.8407,0.9412,0.93913,0.97761,0.65065,1.18004,0.65778,0.81815,0.00108936,0.000959149,0.000959149
4,712.687,1.38935,0.74801,0.83165,0.94731,0.9602,0.98394,0.64517,1.23012,0.63089,0.82248,0.0009406,0.0009406,0.0009406
5,889.32,1.32671,0.69404,0.83285,0.96313,0.96456,0.986,0.69341,1.06164,0.56679,0.81238,0.0009208,0.0009208,0.0009208
6,1068.09,1.26136,0.66317,0.82381,0.96352,0.96969,0.98691,0.71456,1.01053,0.54968,0.80776,0.000901,0.000901,0.000901
7,1248.41,1.26365,0.63964,0.82282,0.96856,0.9721,0.98762,0.67242,1.08969,0.55582,0.80903,0.0008812,0.0008812,0.0008812
8,1427.72,1.19493,0.60785,0.81956,0.97773,0.97392,0.98934,0.71587,1.02476,0.52463,0.80746,0.0008614,0.0008614,0.0008614
9,1603.95,1.15131,0.58063,0.81628,0.98026,0.97615,0.98954,0.73339,0.95513,0.49679,0.80287,0.0008416,0.0008416,0.0008416
10,1777.56,1.214,0.59029,0.82124,0.97902,0.97996,0.99041,0.72331,1.02316,0.50858,0.80702,0.0008218,0.0008218,0.0008218
11,1950.96,1.11755,0.55465,0.81493,0.98362,0.98091,0.99152,0.7586,0.89877,0.47047,0.80094,0.000802,0.000802,0.000802
12,2126.81,1.1415,0.55692,0.81578,0.98285,0.98089,0.99138,0.74723,0.932,0.47622,0.80177,0.0007822,0.0007822,0.0007822
13,2301.08,1.08499,0.53803,0.81028,0.98551,0.98461,0.99156,0.77101,0.85586,0.45425,0.79919,0.0007624,0.0007624,0.0007624
14,2478.16,1.07558,0.52829,0.81256,0.98577,0.98586,0.9914,0.76069,0.87774,0.45136,0.80207,0.0007426,0.0007426,0.0007426
15,2648.59,1.0736,0.52483,0.81296,0.98843,0.98446,0.99198,0.74402,0.93845,0.45748,0.80449,0.0007228,0.0007228,0.0007228
16,2818.91,1.0271,0.51114,0.80897,0.98513,0.98303,0.99153,0.7554,0.90807,0.4435,0.80172,0.000703,0.000703,0.000703
17,2990.52,1.0231,0.51068,0.80953,0.9897,0.98613,0.99189,0.78484,0.82007,0.42287,0.79875,0.0006832,0.0006832,0.0006832
18,3172.19,1.03434,0.50277,0.80974,0.98854,0.98779,0.99179,0.77986,0.83242,0.42588,0.7986,0.0006634,0.0006634,0.0006634
19,3354.72,1.04732,0.49551,0.80819,0.98772,0.98662,0.99207,0.77492,0.84604,0.41703,0.80006,0.0006436,0.0006436,0.0006436
